s \ ip,192.168.1.101,192.168.1.102,192.168.1.103
0,command,command,command
0.5,mon,mon,mon
1,takeoff,,
3,,takeoff,takeoff
10,jump 80 0 100 100 0 m2 m7,jump -80 0 70 100 0 m6 m1,jump -80 0 70 100 0 m8 m3
20,go 0 0 70 100 m7,jump 40 -40 100 100 0 m1 m4,jump 40 40 100 100 0 m3 m5
25,cw 45,cw 45,cw 45
30,ccw 90,ccw 90,ccw 90
35,cw 45,cw 45,cw 45
41,go 0 0 70 100 m7,jump -40 40 70 100 0 m4 m1,jump -40 -40 70 100 0 m5 m3
47,jump 0 80 100 100 0 m7 m6,jump 0 -80 100 100 0 m1 m2,jump 80 0 100 100 0 m3 m8
53,jump -80 0 70 100 0 m6 m1,jump 0 -80 70 100 0 m2 m3,jump 0 80 70 100 0 m8 m7
59,jump 0 -80 100 100 0 m1 m2,jump 80 0 100 100 0 m3 m8,jump 0 80 100 100 0 m7 m6
74,jump 80 0 100 100 180 m2 m7,cw 180,cw 180
80,command,jump -80 0 100 100 180 m8 m3,jump -80 0 100 100 180 m6 m1
90,jump 0 0 70 100 180 m7 m7,jump 0 0 110 100 0 m3 m3,jump 0 0 110 100 0 m1 m1
95,flip f,flip b,flip b
100,land,land,land
116,,,